name,class,RNA,Protein,reg_group
ACSL6,Amp,1.8314487427937793,-0.03553844538320236,Intermediate/Other
ACSL6,CNLOH,-0.9624644922130141,0.44611229741854674,Prot-comp.
ACSL6,del,-0.9617982971206473,1.3925116606484589,Prot-comp.
ACSS1,Amp,0.599188455156668,1.4413127782452184,Compensated
ACSS1,CNLOH,-0.49502295323624057,-1.3898476948731122,Hyper-responders
ACSS2,Amp,0.5581159266361191,0.3386793319487263,Compensated
ACTB,Amp,0.7195037187244944,0.24518981089169112,Compensated
ACTB,CNLOH,0.9799822487295806,-0.8198580564623333,RNA-comp.
ACTG1,Amp,-0.8398490254776605,0.0873323486940798,Intermediate/Other
ACTG1,CNLOH,0.9839330714810909,-0.15990058622976944,RNA-comp.
ACTG1,del,1.6647700903833367,0.9254814362630347,Compensated
ACTL6A,Amp,0.524701885493053,0.5611871827213621,Compensated
ACTL6A,CNLOH,5.254516919685585e-4,0.28869141280484384,Intermediate/Other
ACTL8,Amp,-1.1554522136173975,-0.8589849006634397,Hyper-responders
ACTL8,CNLOH,0.56995428302719,0.2928612774535717,Compensated
ACTN1,Amp,0.7965891094616029,0.6019905469380682,Compensated
ACTN1,CNLOH,-0.6175392328990881,-0.45321818282958953,Hyper-responders
ACTN1,del,-0.5657323725809003,-0.10007272588132499,Intermediate/Other
ACTN4,Amp,1.0238334163513678,0.6397735347992577,Compensated
ACTN4,del,-1.4229636911257406,-0.496947345531632,Hyper-responders
ACTR10,Amp,0.8356999202250814,0.6806796307606129,Compensated
ACTR10,CNLOH,-0.08926064019076002,0.13580349309005132,Intermediate/Other
ACTR10,del,-0.08922847920981802,0.8357531110060096,Intermediate/Other
ACTR1A,Amp,0.4044206186877166,0.6439705991143854,Compensated
ACTR1A,CNLOH,0.020236603445814016,0.18208180643672686,Intermediate/Other
ACTR1B,Amp,0.7742086050803436,0.6704972229064237,Compensated
ACTR1B,CNLOH,0.5725784361515801,0.22070803789643378,Compensated
ACTR2,Amp,0.5719942417573645,0.5116756708830863,Compensated
ACTR3,Amp,0.7474074850645709,0.5076979127330624,Compensated
ACTR3,CNLOH,0.7185867411492463,0.15932528941817078,Compensated
ACTR3B,Amp,0.49021521010057306,0.5160220210088251,Compensated
ACTR3B,CNLOH,-0.5593688134615082,-0.2622769907625489,Hyper-responders
ACTR3B,del,0.6365568801686867,1.2112992139118701,Compensated
ACTR5,Amp,0.6069756121432839,0.26606014226587826,Compensated
ACTR6,Amp,0.8461039572483006,0.6257502938259378,Compensated
ACTR6,CNLOH,0.36794853636618297,0.35483460893560914,Compensated
ACTR6,del,0.5899154992414296,0.24527147430179652,Compensated
ACTR8,Amp,0.3850683537452965,0.6245034086076116,Compensated
ACTR8,CNLOH,-0.20937218613622557,-0.0640176982346308,Intermediate/Other
ACTR8,del,0.3073626568946589,0.4802137631947728,Compensated
ACVR1,Amp,0.2749624761619428,0.5280117026711331,Compensated
ACVR1,CNLOH,0.38768185888438583,-0.3484874770088549,RNA-comp.
ACVR1,del,0.7275082409338798,1.3117431600135605,Compensated
ACVR1B,Amp,0.6924507684603087,0.5778909593852737,Compensated
ACVR1B,CNLOH,0.2843633976099704,0.7204675435528245,Compensated
ACY1,Amp,0.8127942071035359,0.38126689966037697,Compensated
ACY1,CNLOH,1.2565292214237764,0.09483874460514863,Intermediate/Other
ACY1,del,-0.3890550609217637,1.3224738172645987,Prot-comp.
ACYP1,Amp,0.2991367546325306,0.034770861394061936,Intermediate/Other
ACYP1,CNLOH,0.1934644687454215,0.01938047439079131,Intermediate/Other
ACYP1,del,-1.1910687179183883,0.1244303599744514,Intermediate/Other
ACYP2,Amp,0.7709348611497955,0.3319323245295642,Compensated
ADA,Amp,0.050007315320258094,1.2884300556874297,Intermediate/Other
ADAM10,Amp,0.15804243267531576,0.21854312460423275,Compensated
ADAM10,CNLOH,-0.30227632589989906,-0.4206658207736973,Hyper-responders
ADAM15,Amp,0.7813719736646223,0.7828807892454904,Compensated
ADAM17,Amp,0.6067501827417617,0.2484940202821262,Compensated
ADAM17,del,-0.13575393416395543,-0.7815814723710489,Intermediate/Other
ADAM9,Amp,0.9717116313274357,0.7561004681148988,Compensated
ADAM9,CNLOH,-0.35696173836309797,-0.275755220219982,Hyper-responders
ADAM9,del,0.09375731029001144,0.3834838774844409,Intermediate/Other
ADAP1,Amp,1.2534612673468402,0.9311054828415485,Compensated
ADAR,Amp,0.45934520473807816,0.8946066158171402,Compensated
ADARB1,Amp,0.06910387807601831,0.1467513216014948,Intermediate/Other
ADARB1,CNLOH,-0.03551806019524899,0.8446243185984399,Intermediate/Other
ADARB1,del,0.3820068792032364,1.2245955393115568,Compensated
ADAT1,Amp,0.824563949282304,0.5320636956959437,Compensated
ADAT1,CNLOH,1.1483057378466535,0.25031298450167483,Compensated
ADAT2,Amp,0.5331319617520114,0.8776007390619378,Compensated
ADAT2,CNLOH,0.17073973762917197,-0.029272946758781754,Intermediate/Other
ADAT3,Amp,1.2232188301537086,0.32218014246846755,Compensated
ADAT3,CNLOH,1.3221864249584272,0.35892536867574465,Compensated
ADCK1,Amp,0.024747276911016525,0.5934489311638039,Intermediate/Other
ADCK1,CNLOH,-0.25017063241432635,-0.29259908764849835,Hyper-responders
ADCK5,Amp,0.7309468273041974,0.8513779946916584,Compensated
ADCK5,CNLOH,-1.1565558680717603,-0.7108756186872776,Hyper-responders
ADCY3,Amp,0.18358090617808187,0.5622043907148082,Compensated
ADCY3,del,-0.1448845091907751,0.6849745459667325,Intermediate/Other
ADCY6,Amp,0.6599366820646493,0.4922240521447435,Compensated
ADCY6,CNLOH,0.57441524413007,0.20384040232046988,Compensated
ADCY9,Amp,-0.8838014463233508,0.27862292358594304,Prot-comp.
ADCY9,del,1.9681685370242277,0.8321259783349347,Compensated
ADD1,Amp,0.21608804069465556,0.48404759024339383,Compensated
ADD1,CNLOH,-0.2099138768117528,0.030629259819032802,Intermediate/Other
ADD1,del,-0.3456331154142458,0.21736929893938362,Prot-comp.
ADD3,Amp,0.4991527915005076,0.5006374605298269,Compensated
ADD3,CNLOH,0.2708033970420979,0.05135504801533736,Intermediate/Other
ADGRA3,Amp,0.7372023299576265,0.7593072267242825,Compensated
ADGRA3,CNLOH,-0.43124510923540976,-0.19717421078451425,Hyper-responders
ADGRA3,del,-0.3268254494462679,0.24009076436530608,Prot-comp.
ADGRE5,Amp,0.7525931458802362,0.6582094706394686,Compensated
ADGRG1,Amp,0.6304001730433323,0.6424541090310916,Compensated
ADGRG1,CNLOH,0.13730420068927024,-0.2034448986665092,Intermediate/Other
ADH5,Amp,0.6059394149934486,0.03905482020604123,Intermediate/Other
ADH5,CNLOH,-0.11137220074577063,-0.0636273775660861,Intermediate/Other
ADH5,del,0.18794662218314362,0.3191779919131439,Compensated
ADI1,Amp,0.4371837807083765,0.44995011039497135,Compensated
ADI1,del,1.8263869272536604,1.8207726639737463,Compensated
ADIRF,Amp,-0.8208609236666324,-0.9191037820020047,Hyper-responders
ADIRF,CNLOH,0.16571400544036807,-1.2530130880302894,RNA-comp.
ADIRF,del,0.0017238461830924035,2.02387756149821,Intermediate/Other
ADK,Amp,0.26051562067101885,0.2944335846488537,Compensated
ADK,CNLOH,-0.18204468664788243,-0.2057474272541958,Hyper-responders
ADNP,Amp,0.3055841238288636,0.7304404677254634,Compensated
ADNP,CNLOH,0.21823699646019637,0.6169617040098352,Compensated
ADO,Amp,0.4202218997152426,0.44795143752253314,Compensated
ADO,CNLOH,0.09088239731805217,0.11419080503944985,Intermediate/Other
ADPGK,Amp,0.17187427334631822,0.38192609075085626,Compensated
ADPGK,CNLOH,-0.03526524759207742,-0.2632065884703307,Intermediate/Other
ADPGK,del,0.4830804505277431,0.43444159685154116,Compensated
ADRM1,Amp,0.3312841760732296,0.682097784522844,Compensated
ADSL,Amp,0.42442870496944274,0.6921414193218667,Compensated
ADSL,CNLOH,-0.9120152426912923,-0.4160913182310487,Hyper-responders
ADSL,del,-0.7452073166513905,-0.06366064335119337,Intermediate/Other
ADSS1,Amp,0.14109308148065625,-0.19853444018997457,Intermediate/Other
ADSS1,CNLOH,-0.546721927557043,1.1876897052493944,Prot-comp.
ADSS2,Amp,0.514375735295862,0.5709129903325612,Compensated
ADSS2,del,0.44518339434439536,0.3150748995865801,Compensated
AEBP2,Amp,0.36021536420560707,0.5830068643726756,Compensated
AEBP2,CNLOH,-0.12751859839846258,0.7354062183322592,Intermediate/Other
AFAP1,Amp,0.21969220615541762,1.05155119850033,Compensated
AFAP1,CNLOH,-0.679406824168156,-0.21086302071279808,Hyper-responders
AFAP1,del,-0.4880237688669552,0.07922628337236526,Intermediate/Other
AFAP1L2,Amp,1.8197573690477995,0.7489601377079549,Compensated
AFAP1L2,CNLOH,1.7786052937188754,1.4389996725650998,Compensated
AFDN,Amp,0.4296143557061287,0.2347047237474305,Compensated
AFDN,CNLOH,0.39918748880940585,0.3218879902808639,Compensated
AFF1,Amp,0.43038801258480575,1.0113174089668384,Compensated
AFF1,CNLOH,-0.3558709767415491,-0.2345737476988965,Hyper-responders
AFF4,Amp,0.045673391050469275,0.9000718016612197,Intermediate/Other
AFF4,CNLOH,-0.12729774963597362,-0.2739331864363784,Intermediate/Other
AFF4,del,0.8879754220132413,0.46717882324165394,Compensated
AFG1L,Amp,0.6106583748298567,0.7365092980343122,Compensated
AFG1L,CNLOH,-0.0652344802216045,0.429736584317929,Intermediate/Other
AFG3L2,Amp,0.7070364389605182,1.2021241995449221,Compensated
AFG3L2,CNLOH,-0.11319583220856441,-0.7163573622735876,Intermediate/Other
AFG3L2,del,0.061903769965484634,-0.519919509792644,Intermediate/Other
AFMID,Amp,-0.29422984922170287,0.3253024937841939,Prot-comp.
AFMID,CNLOH,1.0593073183062203,-0.03875027256080407,Intermediate/Other
AFMID,del,2.594648820198552,1.05142287573462,Compensated
AFTPH,Amp,0.7027333557778739,0.5613883605022956,Compensated
AGA,Amp,0.09700656273146652,0.15414336148342572,Intermediate/Other
AGA,CNLOH,0.003183598791383288,-0.345233223885134,Intermediate/Other
AGA,del,1.302262774152796,0.4240949117076025,Compensated
AGAP1,Amp,0.7412662746449632,0.4620623494951526,Compensated
AGAP1,CNLOH,0.5843861934342616,-0.16013569058074942,RNA-comp.
AGAP1,del,0.31628824739897476,1.0829742820580024,Compensated
AGAP3,Amp,0.7020407624525151,0.6435913047258299,Compensated
AGAP3,CNLOH,0.09730857070749573,-0.09639895873678934,Intermediate/Other
